date,hour,zone,demand,weather,is_weekend,is_festival,temperature,day_of_week
2024-01-01,0,Thamel,7,Clear,0,0,17,0
2024-01-01,0,Baneshwor,12,Clear,0,0,33,0
2024-01-01,0,Koteshwor,6,Fog,0,0,12,0
2024-01-01,0,Lalitpur,18,Clear,0,0,10,0
2024-01-01,0,Bhaktapur,7,Clear,0,0,17,0
2024-01-01,0,Balaju,4,Fog,0,0,16,0
2024-01-01,0,Kalanki,18,Clear,0,0,24,0
2024-01-01,0,Chabahil,13,Clear,0,0,34,0
2024-01-01,0,Maharajgunj,14,Rain,0,0,20,0
2024-01-01,0,Patan,13,Clear,0,0,16,0
2024-01-01,0,Boudha,15,Clear,0,0,12,0
2024-01-01,0,Kirtipur,17,Clear,0,0,21,0
2024-01-01,1,Thamel,19,Fog,0,0,18,0
2024-01-01,1,Baneshwor,8,Rain,0,0,27,0
2024-01-01,1,Koteshwor,11,Rain,0,0,12,0
2024-01-01,1,Lalitpur,11,Fog,0,0,21,0
2024-01-01,1,Bhaktapur,11,Clear,0,0,11,0
2024-01-01,1,Balaju,12,Clear,0,0,12,0
2024-01-01,1,Kalanki,12,Clear,0,0,22,0
2024-01-01,1,Chabahil,18,Rain,0,0,30,0
2024-01-01,1,Maharajgunj,16,Clear,0,0,21,0
2024-01-01,1,Patan,16,Clear,0,0,31,0
2024-01-01,1,Boudha,13,Clear,0,0,29,0
2024-01-01,1,Kirtipur,8,Fog,0,0,33,0
2024-01-01,2,Thamel,18,Clear,0,0,24,0
2024-01-01,2,Baneshwor,17,Clear,0,0,30,0
2024-01-01,2,Koteshwor,12,Clear,0,0,34,0
2024-01-01,2,Lalitpur,6,Clear,0,0,11,0
2024-01-01,2,Bhaktapur,21,Rain,0,0,18,0
2024-01-01,2,Balaju,7,Clear,0,0,28,0
2024-01-01,2,Kalanki,15,Clear,0,0,30,0
2024-01-01,2,Chabahil,28,Rain,0,0,30,0
2024-01-01,2,Maharajgunj,19,Clear,0,0,18,0
2024-01-01,2,Patan,9,Clear,0,0,33,0
2024-01-01,2,Boudha,10,Fog,0,0,23,0
2024-01-01,2,Kirtipur,17,Clear,0,0,17,0
2024-01-01,3,Thamel,10,Fog,0,0,25,0
2024-01-01,3,Baneshwor,7,Clear,0,0,13,0
2024-01-01,3,Koteshwor,9,Clear,0,0,35,0
2024-01-01,3,Lalitpur,14,Fog,0,0,12,0
2024-01-01,3,Bhaktapur,23,Rain,0,0,29,0
